threshold_calculation_id,threshold_id,multiply_by,add_to
threshold_calculation_01,threshold_id_01,1,0
threshold_calculation_02,threshold_id_02,1.5,0
threshold_calculation_03,threshold_id_02,1,180
threshold_calculation_04,threshold_id_03,2,0
threshold_calculation_05,threshold_id_04,1,180
threshold_calculation_06,threshold_id_05,1,360
threshold_calculation_07,threshold_id_06,1,600
threshold_calculation_08,threshold_id_07,1,300
threshold_calculation_09,threshold_id_08,1,600
threshold_calculation_10,threshold_id_09,1,1200
threshold_calculation_11,threshold_id_10,1,300
threshold_calculation_12,threshold_id_11,1,600
threshold_calculation_13,threshold_id_12,1,1200
threshold_calculation_14,threshold_id_13,1,90
threshold_calculation_15,threshold_id_15,1,0
threshold_calculation_16,threshold_id_16,1,180
threshold_calculation_17,threshold_id_18,1,-60
threshold_calculation_18,threshold_id_19,1,360
threshold_calculation_19,threshold_id_20,1,300
threshold_calculation_20,threshold_id_21,1,180
threshold_calculation_21,threshold_id_22,1.2,0
threshold_calculation_22,threshold_id_24,1,180
threshold_calculation_23,threshold_id_25,1,360
threshold_calculation_24,threshold_id_27,1,90
threshold_calculation_25,threshold_id_28,1,180
threshold_calculation_26,threshold_id_30,1,180
threshold_calculation_27,threshold_id_31,1,360
