time_period_id,day_type,time_period_sequence,time_period_type,time_period_name,time_period_start_time,time_period_end_time,time_period_start_time_sec,time_period_end_time_sec
time_period_01,Weekday,1,OFF_PEAK,VERY_EARLY_MORNING,3:00,6:00,10800,21600
time_period_02,Weekday,2,OFF_PEAK,EARLY_AM,6:00,7:00,21600,25200
time_period_03,Weekday,3,PEAK,AM_PEAK,7:00,9:00,25200,32400
time_period_04,Weekday,4,OFF_PEAK,MIDDAY_BASE,9:00,13:30,32400,48600
time_period_05,Weekday,5,OFF_PEAK,MIDDAY_SCHOOL,13:30,16:00,48600,57600
time_period_06,Weekday,6,PEAK,PM_PEAK,16:00,18:30,57600,66600
time_period_07,Weekday,7,OFF_PEAK,EVENING,18:30,22:00,66600,79200
time_period_08,Weekday,8,OFF_PEAK,LATE_EVENING,22:00,0:00,79200,86400
time_period_09,Weekday,9,OFF_PEAK,NIGHT,0:00,3:00,86400,97200
time_period_10,Saturday,1,OFF_PEAK,OFF_PEAK,3:00,3:00,10800,97200
time_period_11,Sunday,1,OFF_PEAK,OFF_PEAK,3:00,3:00,10800,97200
